Name,Phone No,Address,Website Link,Yellow Page Rating,Trip Advisor Rating
Ramada by Wyndham Los Angeles/Koreatown West,(213) 984-4389,"3900 Wilshire Blvd, Los Angeles, CA 90010",https://www.wyndhamhotels.com/ramada/los-angeles-california/ramada-wilshire-center/overview,3,3.0
Rossmore Hotel,(213) 612-0371,"905 E 6th St, Los Angeles, CA 90021",http://rossmorehotel.com,5,0.0
Park Plaza Lodge Hotel,(323) 931-1501,"6001 W 3rd St, Los Angeles, CA 90036",http://www.parkplazalodgehotel.com,0,3.5
Travelodge,(310) 474-4576,"10740 Santa Monica Blvd, Los Angeles, CA 90025",http://www.travelodge.com,0,0.0
Hollywood Roxy Hotel,(323) 463-3106,"1655 N Western Ave, Los Angeles, CA 90027",http://www.hollywoodhotel.net,0,2.0
Residence Inn by Marriott Beverly Hills,(310) 228-4100,"1177 S Beverly Dr, Los Angeles, CA 90035",https://www.marriott.com/en-us/hotels/laxrb-residence-inn-beverly-hills/overview/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe&y_source=1_Mzg4OTgxOS03NjktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,0,4.0
Highland Gardens Hotel,(323) 850-0536,"7047 Franklin Ave, Los Angeles, CA 90028",https://www.highlandgardenshotel.com,3,3.0
Union Hotel,(213) 627-5998,"705 E 9th St, Los Angeles, CA 90021",http://unionhotel.com,0,0.0
Hollywood Palms Inn & Suites,(323) 462-3221,"6055 W Sunset Blvd, Los Angeles, CA 90028",http://www.hollywoodpalmsinnsuites.us,3,2.5
Westin,(310) 216-5858,"5400 W Century Blvd, Los Angeles, CA 90045",http://www.westinlosangelesairport.com,1,3.5
Garden Suites Hotel & Resort,(213) 383-0000,"681 S Western Ave, Los Angeles, CA 90005",http://gardensuiteshotelresort.localsearch.com,0,3.0
Embassy Suites by Hilton Los Angeles International Airport North,(310) 215-1000,"9801 Airport Blvd, Los Angeles, CA 90045",https://www.hilton.com/en/hotels/laxabes-embassy-suites-los-angeles-international-airport-north/?SEO_id=YEXTN-AMER-ES-LAXABES&y_source=1_MTEwOTk4MC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,0,4.0
DoubleTree by Hilton Los Angeles Downtown,(213) 629-1200,"120 S Los Angeles St, Los Angeles, CA 90012",http://www.doubletreeladowntown.com,0,4.0
The Dixie Hollywood,(323) 463-7171,"5410 Hollywood Blvd, Los Angeles, CA 90027",http://dixiehollywoodhotel.com,0,3.5
Radisson Hotel Los Angeles Midtown at USC,(213) 748-4141,"3540 South Figueroa Street, Los Angeles, CA 90007",http://radissonhotellosangelesmidtownatusc.localsearch.com,0,0.0
Knights Inn Downtown Los Angeles,(213) 250-8925,"1255 W Temple St, Los Angeles, CA 90026",http://www.knightsinn.com,0,3.5
Hollywood Inn Express South,(213) 413-6699,"141 N Alvarado St, Los Angeles, CA 90026",http://hollywoodinnexpresssouth.com,1,0.0
Pride Hotel,(323) 266-2336,"1239 S Atlantic Blvd, Los Angeles, CA 90022",http://yellowpages.com/los-angeles-ca/mip/pride-hotel-9635132,0,0.0
Courtyard by Marriott,(310) 649-1400,"6161 W Century Blvd, Los Angeles, CA 90045",https://www.marriott.com/en-us/hotels/laxcy-courtyard-los-angeles-lax-century-boulevard/overview,0,4.0
Sunset Tower Hotel,(323) 654-7100,"8358 W Sunset Blvd, Los Angeles, CA 90069",https://www.sunsettowerhotel.com,0,4.5
Hotel Claremont,(310) 208-5957,"1044 Tiverton Ave, Los Angeles, CA 90024",http://hotelclaremont.localsearch.com,0,0.0
Kimpton Hotel Palomar Los Angeles Beverly Hills,(310) 475-8711,"10740 Wilshire Blvd, Los Angeles, CA 90024",https://www.hotelpalomar-beverlyhills.com/?cm_mmc=YextLocal-_-cp-_-US-_-LWP,0,4.0
O Hotel,(213) 623-9904,"819 S Flower St, Los Angeles, CA 90017",http://www.ohotelgroup.com,0,3.5
Swiss Inn,(310) 859-0496,"1119 S Robertson Blvd, Los Angeles, CA 90035",http://swissinn.net,0,0.0
Mayfair Hotel,(213) 484-9789,"1256 W 7th St, Los Angeles, CA 90017",http://mayfairla.com,2,4.0
Ward Hotel,(213) 229-9644,"512 Wall St, Los Angeles, CA 90013",http://srohousing.org,0,0.0
Farmer's Daughter Hotel,(323) 937-3930,"115 S Fairfax Ave, Los Angeles, CA 90036",http://farmersdaughterhotel.com,5,4.0
The Hollywood Roosevelt,(323) 856-1970,"7000 Hollywood Blvd, Los Angeles, CA 90028",http://thehollywoodroosevelt.localsearch.com,4,4.5
JW Marriott Los Angeles L.A. LIVE,(213) 765-8600,"900 W Olympic Blvd, Los Angeles, CA 90015",https://www.marriott.com/en-us/hotels/laxjw-jw-marriott-los-angeles-l-a-live/overview/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe&y_source=1_MjkyMTMzOC03NjktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,3.5,4.5
The Ritz-Carlton,(213) 743-8800,"900 W Olympic Blvd, Los Angeles, CA 90015",http://www.blinknetwork.com,4.5,4.5
Hilton Los Angeles Airport,(310) 410-4000,"5711 W Century Blvd, Los Angeles, CA 90045",http://www3.hilton.com/en/hotels/california/hilton-los-angeles-airport-LAXAHHH/dining/index.html,4.5,3.5
Ace Hotel Los Angeles,(213) 623-3233,"929 S Broadway, Los Angeles, CA 90015",http://www.acehotel.com,5,0.0
Best Western Plus Glendale,(323) 256-7711,"2911 Colorado Blvd, Los Angeles, CA 90041",https://www.bestwestern.com/en_US/book/hotel-rooms.05518.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:05518,4,4.0
Beverly Laurel Motor Hotel,(800) 947-7666,"8018 Beverly Blvd, Los Angeles, CA 90048",https://www.beverlylaurelhotel.com/?utm_medium=organic&utm_source=yext&utm_campaign=website-link,1,0.0
Miyako Hotel Los Angeles,(213) 617-2000,"328 E 1st St, Los Angeles, CA 90012",http://www.miyakoinn.com,0,4.0
The Wayfarer Downtown Los Angeles,(213) 285-4400,"813 S Flower St, Los Angeles, CA 90017",https://www.wayfarerdtla.com/?utm_medium=organic&utm_source=yext&utm_campaign=website,0,4.0
Downtown LA Proper Hotel,(213) 806-1010,"1100 S Broadway, Los Angeles, CA 90015",https://www.properhotel.com/downtown-la/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,0,5.0
New Seoul Hotel,(213) 381-6262,"2666 W Olympic Blvd, Los Angeles, CA 90006",N/A,0,4.0
Hometel Suites,(213) 384-7788,"3160 W 8th St, Los Angeles, CA 90005",http://www.hometelsuites.com,0,4.0
USC Hotel,(833) 266-5872,"3540 S Figueroa St, Los Angeles, CA 90007",https://uschotel.usc.edu/?utm_medium=organic&utm_source=yext&utm_campaign=website,0,4.0
Hollywood Hotel ®,(323) 746-0444,"1160 N Vermont Ave District Of Hollywood, Los Angeles, CA 90029",https://www.thehollywoodhotel.com,0,0.0
Hampton Inn & Suites Los Angeles/Hollywood,(323) 952-6900,"1133 Vine St, Los Angeles, CA 90038",http://www.hamptoninn.com,0,4.0
Mama Shelter Los Angeles,(323) 785-6600,"6500 Selma Ave, Los Angeles, CA 90028",https://mamashelter.com/los-angeles,0,0.0
